action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,12637010,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=S)Nc1ccc(Cl)cc1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '8.68', 'le': '0.17', 'lle': '-0.96', 'sei': '6.86'}",CHEMBL2313697,,CHEMBL2313697,4.23,0,http://www.openphacts.org/units/Nanomolar,1843592,=,1,1,=,,IC50,nM,,59400.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,59.4
,,12637011,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=O)Nc1ccc(Cl)cc1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '8.96', 'le': '0.17', 'lle': '-0.80', 'sei': '5.36'}",CHEMBL2313717,,CHEMBL2313717,4.22,0,http://www.openphacts.org/units/Nanomolar,1843613,=,1,1,=,,IC50,nM,,60300.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,60.3
,,12637012,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=S)Nc1cccc(Cl)c1)N1CCC(c2noc3cc(F)ccc23)CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313716,,CHEMBL2313716,,0,http://www.openphacts.org/units/Nanomolar,1843612,=,1,1,=,,IC50,nM,,125700.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,125.7
,,12637013,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=O)Nc1cccc(Cl)c1)N1CCC(c2noc3cc(F)ccc23)CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313715,,CHEMBL2313715,,0,http://www.openphacts.org/units/Nanomolar,1843611,=,1,1,=,,IC50,nM,,145400.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,145.4
,,12637014,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=S)Nc1ccc(F)cc1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '8.82', 'le': '0.17', 'lle': '-0.52', 'sei': '6.73'}",CHEMBL2313714,,CHEMBL2313714,4.15,0,http://www.openphacts.org/units/Nanomolar,1843610,=,1,1,=,,IC50,nM,,70900.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,70.9
,,12637015,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=O)Nc1ccc(F)cc1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '9.06', 'le': '0.17', 'lle': '-0.39', 'sei': '5.23'}",CHEMBL2313713,,CHEMBL2313713,4.12,0,http://www.openphacts.org/units/Nanomolar,1843609,=,1,1,=,,IC50,nM,,76100.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,76.1
,,12637016,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=O)Nc1cccc(F)c1)N1CCC(c2noc3cc(F)ccc23)CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313712,,CHEMBL2313712,,0,http://www.openphacts.org/units/Nanomolar,1843608,=,1,1,=,,IC50,nM,,116700.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,116.7
,,12637017,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=S)Nc1ccccc1F)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '10.86', 'le': '0.21', 'lle': '0.44', 'sei': '8.29'}",CHEMBL2313711,,CHEMBL2313711,5.11,0,http://www.openphacts.org/units/Nanomolar,1843607,=,1,1,=,,IC50,nM,,7800.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,7.8
,,12637018,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=O)Nc1ccccc1F)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '9.38', 'le': '0.18', 'lle': '-0.25', 'sei': '5.42'}",CHEMBL2313710,,CHEMBL2313710,4.26,0,http://www.openphacts.org/units/Nanomolar,1843606,=,1,1,=,,IC50,nM,,54800.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,54.8
,,12637019,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(NC(=S)N2CCCC2C(=O)N2CCC(c3noc4cc(F)ccc34)CC2)cc1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '11.21', 'le': '0.22', 'lle': '0.87', 'sei': '7.64'}",CHEMBL2313709,,CHEMBL2313709,5.41,0,http://www.openphacts.org/units/Nanomolar,1843605,=,1,1,=,,IC50,nM,,3900.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,3.9
,,12637020,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(NC(=O)N2CCCC2C(=O)N2CCC(c3noc4cc(F)ccc34)CC2)cc1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '9.98', 'le': '0.19', 'lle': '0.28', 'sei': '5.30'}",CHEMBL2313708,,CHEMBL2313708,4.66,0,http://www.openphacts.org/units/Nanomolar,1843604,=,1,1,=,,IC50,nM,,22100.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,22.1
,,12637021,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(NC(=S)N2CCCC2C(=O)N2CCC(c3noc4cc(F)ccc34)CC2)c1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '9.71', 'le': '0.19', 'lle': '0.15', 'sei': '6.62'}",CHEMBL2313707,,CHEMBL2313707,4.69,0,http://www.openphacts.org/units/Nanomolar,1843603,=,1,1,=,,IC50,nM,,20500.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,20.5
,,12637022,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(NC(=O)N2CCCC2C(=O)N2CCC(c3noc4cc(F)ccc34)CC2)c1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '9.60', 'le': '0.18', 'lle': '0.10', 'sei': '5.09'}",CHEMBL2313706,,CHEMBL2313706,4.48,0,http://www.openphacts.org/units/Nanomolar,1843602,=,1,1,=,,IC50,nM,,33400.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,33.4
,,12637023,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1NC(=S)N1CCCC1C(=O)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '10.95', 'le': '0.21', 'lle': '0.74', 'sei': '7.46'}",CHEMBL2313705,,CHEMBL2313705,5.28,0,http://www.openphacts.org/units/Nanomolar,1843601,=,1,1,=,,IC50,nM,,5200.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,5.2
,,12637024,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1NC(=O)N1CCCC1C(=O)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '9.68', 'le': '0.18', 'lle': '0.13', 'sei': '5.14'}",CHEMBL2313704,,CHEMBL2313704,4.51,0,http://www.openphacts.org/units/Nanomolar,1843600,=,1,1,=,,IC50,nM,,30600.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,30.6
,,12637025,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=S)Nc1ccccc1)N1CCC(c2noc3cc(F)ccc23)CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313703,,CHEMBL2313703,,0,http://www.openphacts.org/units/Nanomolar,1843599,=,1,1,=,,IC50,nM,,295100.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,295.1
,,12637026,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CCCN1C(=O)Nc1ccccc1)N1CCC(c2noc3cc(F)ccc23)CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313732,,CHEMBL2313732,,0,http://www.openphacts.org/units/Nanomolar,1843628,=,1,1,=,,IC50,nM,,340100.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,340.1
,Not Active,12637027,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)OC(=O)NCC(=O)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313731,,CHEMBL2313731,,0,,1843627,,1,0,,,IC50,,,,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,,,,
,,12637028,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCC(=O)N1CCC(c2noc3cc(F)ccc23)CC1)Nc1ccc(Br)cc1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '10.67', 'le': '0.23', 'lle': '0.81', 'sei': '5.80'}",CHEMBL2313730,,CHEMBL2313730,5.07,0,http://www.openphacts.org/units/Nanomolar,1843626,=,1,1,=,,IC50,nM,,8500.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,8.5
,,12637029,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC(=S)Nc1cccc(Br)c1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '10.81', 'le': '0.24', 'lle': '0.89', 'sei': '7.54'}",CHEMBL2313729,,CHEMBL2313729,5.31,0,http://www.openphacts.org/units/Nanomolar,1843625,=,1,1,=,,IC50,nM,,4900.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,4.9
,,12637030,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCC(=O)N1CCC(c2noc3cc(F)ccc23)CC1)Nc1cccc(Br)c1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '10.59', 'le': '0.23', 'lle': '0.77', 'sei': '5.75'}",CHEMBL2313728,,CHEMBL2313728,5.03,0,http://www.openphacts.org/units/Nanomolar,1843624,=,1,1,=,,IC50,nM,,9300.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,9.3
,,12637031,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC(=S)Nc1ccccc1Br)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '10.58', 'le': '0.24', 'lle': '0.78', 'sei': '7.39'}",CHEMBL2313727,,CHEMBL2313727,5.20,0,http://www.openphacts.org/units/Nanomolar,1843623,=,1,1,=,,IC50,nM,,6300.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,6.3
,Not Active,12637032,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC(=S)Nc1ccc(Cl)cc1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313726,,CHEMBL2313726,,0,,1843622,,1,0,,,IC50,,,,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,,,,
,,12637033,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCC(=O)N1CCC(c2noc3cc(F)ccc23)CC1)Nc1ccc(Cl)cc1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '9.46', 'le': '0.19', 'lle': '-0.07', 'sei': '4.66'}",CHEMBL2313725,,CHEMBL2313725,4.08,0,http://www.openphacts.org/units/Nanomolar,1843621,=,1,1,=,,IC50,nM,,83900.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,83.9
,Not Active,12637034,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC(=S)Nc1cccc(Cl)c1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313724,,CHEMBL2313724,,0,,1843620,,1,0,,,IC50,,,,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,,,,
,,12637035,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCC(=O)N1CCC(c2noc3cc(F)ccc23)CC1)Nc1cccc(Cl)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313723,,CHEMBL2313723,,0,http://www.openphacts.org/units/Nanomolar,1843619,=,1,1,=,,IC50,nM,,143500.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,143.5
,,12637036,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC(=S)Nc1ccc(F)cc1)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '9.65', 'le': '0.19', 'lle': '0.35', 'sei': '5.90'}",CHEMBL2313722,,CHEMBL2313722,4.15,0,http://www.openphacts.org/units/Nanomolar,1843618,=,1,1,=,,IC50,nM,,70300.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,70.3
,,12637037,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCC(=O)N1CCC(c2noc3cc(F)ccc23)CC1)Nc1ccc(F)cc1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '9.94', 'le': '0.19', 'lle': '0.49', 'sei': '4.71'}",CHEMBL2313721,,CHEMBL2313721,4.12,0,http://www.openphacts.org/units/Nanomolar,1843617,=,1,1,=,,IC50,nM,,75800.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,75.8
,,12637038,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCC(=O)N1CCC(c2noc3cc(F)ccc23)CC1)Nc1cccc(F)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2311433,Eur J Med Chem,2013.0,,CHEMBL2313720,,CHEMBL2313720,,0,http://www.openphacts.org/units/Nanomolar,1843616,=,1,1,=,,IC50,nM,,100200.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,100.2
,,12637039,[],CHEMBL2319454,Inhibition of glycation of bovine serum albumin assessed as advanced glycated end product measured after 7 days by spectrofluorimeter in presence of glucose anhydrous,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC(=S)Nc1ccccc1F)N1CCC(c2noc3cc(F)ccc23)CC1,,,CHEMBL2311433,Eur J Med Chem,2013.0,"{'bei': '11.71', 'le': '0.23', 'lle': '1.24', 'sei': '7.16'}",CHEMBL2313719,,CHEMBL2313719,5.04,0,http://www.openphacts.org/units/Nanomolar,1843615,=,1,1,=,,IC50,nM,,9100.0,CHEMBL3728,Bos taurus,Serum albumin,9913,,,IC50,uM,UO_0000065,,9.1
